Secteur;Nom;Réf;Rue;No;NPA;Lieu;Tél;Mail
Chêne-Bourg;Chêne-Bourg site Villa Mauresque;8111;Route de Sous-Moulin;3;1225;Chêne-Bourg;022 860 15 60;info@creche3chene.ch
Chêne-Bourg;HUG – site Magnolias;9830;Chemin du Petit-Bel-Air;2;1225;Chêne-Bourg;022 305 40 41;belinda.baumgartner@hcuge.ch
Chêne-Bourg;Polichinelle;9934;Route de Sous-Moulin;11;1225;Chêne-Bourg;022 348 98 94;garderiepolichinelle@gmail.com
Chêne-Bourg;P’tit Eden;8240;Rue Peillonnex;37;1225;Chêne-Bourg;022 349 25 68;leptiteden25@gmail.com
Collex-Bossy;Petit Chevalier;9919;Ecole de Collex;-;1239;Collex;022 774 47 80;pat@petitchevalier.ch
Collonge-Bellerive;Bacounis I;8811;Route d’Hermance;101;1245;Collonge-Bellerive;022 752 22 22;blanc@babouc.org
Collonge-Bellerive;Bacounis II;8812;Route d’Hermance;101;1245;Collonge-Bellerive;022 752 27 22;blanc@babouc.org
Collonge-Bellerive;Boucaniers;9914;Chemin des Rayes;13A;1222;Vésenaz;022 752 44 90;blanc@babouc.org
Collonge-Bellerive;Pop e poppa L’île aux Mômes Vésenaz 1;9949;Chemin de Trémessaz;8b;1222;Vésenaz;022 722 05 31;info@ileauxmomes.ch
Collonge-Bellerive;Pop e poppa L’île aux Mômes Vésenaz 2;9982;Chemin des Rayes;11;1222;Vésenaz;022 821 18 21;info@ileauxmomes.ch
Cologny;Louchette;9956;Route Martin-Bodmer;4;1223;Cologny;022 552 03 70;lalouchette@popepoppa.ch
Cologny;Marelle;8960;Route Martin-Bodmer;4;1223;Cologny;022 552 03 75;nathalie.ageron-blanc@popepoppa.ch
Cologny;Pop e poppa Les Jardins De la Gradelle;9999;Chemin de la Tulette;6;1223;Cologny;022 552 23 70;-
Confignon;Confignon (PE);9926;Chemin Sous-le-Clos;32;1232;Confignon ;022 850 93 61;creche@confignon.ch
Confignon;Confignon (PR);9030;Chemin de Sous-le-Clos;32;1232;Confignon ;022 850 93 35;creche@confignon.ch
Confignon;Rudolf Steiner;7280;Chemin de Narly;2;1232;Confignon ;022 727 04 44;secretariat@ersge.ch
Corsier;Pomme;9040;Route de Crosier 25;25;1246;Corsier;022 751 20 00;lapomme.corsier@bluemail.ch
Corsier;Pop e poppa L’île aux Mômes Corsier;9986;Route de l’Église;38;1246;Corsier;022 552 79 80;gael.baeriswyl@popepoppa.ch
Dardagny;Eveil en forêt;9972;Route de l’Allondon;150;1283;La Plaine;079 645 21 31;efo@ipe-ge.ch
Dardagny;Ô vive;9791;Route Challex;19;1283;La Plaine;022 754 11 93;ovive@dardagny.ch
Genève;1,2,3 Soleil;8548;Rue de Lyon;99;1203;Genève;022 345 32 20;sol@ipe-ge.ch
Genève;Allobroges;9928;Quai du Cheval-Blanc;14;1205;Genève;022 379 89 49;eve-allobroges@unige.ch
Genève;Arc-en-Ciel (Genève);9771;Rue Soubeyran;8;1203;Genève;022 344 03 15;arc@ipe-ge.ch
Genève;Asters;8090;Rue Soubeyran;6;1203;Genève;022 345 63 18;ast@ipe-ge.ch
Genève;Atelier des Petits À La Toupie;8170;Rue du Grand-Pré;17;1202;Genève;022 734 06 42;ate@ipe-ge.ch
Genève;Atelier Vie;9937;Rue de la Faucille;3;1201;Genève;022 740 09 18;avi@ipe-ge.ch
Genève;Barque en Ciel;9820;Rue du Lac;17;1207;Genève;022 786 15 00;bar@ipe-ge.ch
Genève;Baud-Bovy;9800;Place Baud-Bovy;2-4-6;1205;Genève;022 379 88 69;eve-baudbovy@unige.ch
Genève;Beau Soleil;9961;Chemin Edouard Tayan;9;1206;Genève;022 839 82 40;bea@ipe-ge.ch
Genève;Bell One World Nursery School;9905;Chemin des Colombettes;6;1202;Genève;022 749 16 00;info@bell-school.ch
Genève;Bertrand;8541;Avenue Bertrand;20;1206;Genève;022 839 76 30;cha@ipe-ge.ch
Genève;Bout-du-Monde;8542;Chemin du Bout-du-Monde;2B;1206;Genève;022 860 87 79;cha@ipe-ge.ch
Genève;Caillou Bambou;9893;Chemin du 23 août;12;1205;Genève;079 464 83 97;mgp@ipe-ge.ch
Genève;Cafragni – Chateaubriand;8133;Place Châteaubriand;2;1202;Genève;022 738 94 80;chb@ipe-ge.ch
Genève;Carfagni – Léman;9975;Place Chateaubriand;2;1202;Genève;022 716 30 90;"lem@ipe-ge.ch; paq@ipe-ge.ch"
Genève;Cafragni – Pirouette;8300;Rue Rotschild;27;1202;Genève;022 732 32 42;pie@ipe-ge.ch
Genève;Carfagni – Plantamour;8630;Rue Platamour;32;1201;Genève;022 732 52 57;pir@ipe-ge.ch
Genève;Carfagni – Prieuré;9959;Rue Rotschild;27;1202;Genève;022 732 51 43;pri@ipe-ge.ch
Genève;Carrefour Orientation Solidarité – COS;8065;Rue du Valais;9;1202;Genève;022 566 22 90;info@webcos.ch
Genève;Chaumettes;8547;Rue Lombard;5;1205;Genève;022 320 98 16;cmt@ipe-ge.ch
Genève;Cheval Blanc;8260;Quai du Cheval-Blanc;11;1205;Genève;022 342 13 00;eve-chevalblanc@unige.ch
Genève;Comme un chat au soleil;8045;Rue de Lyon;99;1203;Genève;022 345 32 20/21;sol@ipe-ge.ch
Genève;Crescendo;9943;Avenue de Sécheron;14;1202;Genève;022 748 70 90;cdo@ipe-ge.ch
Genève;Croqu’Lune;9909;Chemin du Champ Baron;3;1209;Genève;022 740 11 30;cro@ipe-ge.ch
Genève;Dent de Lait;8900;Avenue Dumas;15;1206;Genève;022 839 81 60;dec@ipe-ge.ch
Genève;Eaux-Vives;8130;Rue Montchoisy;48;1207;Genève;022 736 30 24;eau@ipe-ge.ch
Genève;Ella Maillart;9973;Boulevard de la Cluse;73;1205;Genève;022 839 81 90;ela@ipe-ge.ch
Genève;Ensemble;9996;Rue de la Servette;32;1202;Genève;022 734 25 12;fe.je@fondation-ensemble.ch
Genève;Flottille;9918;Rue des Vollandes;19;1207;Genève;022 736 89 55;flo@ipe-ge.ch
Genève;Frimousses;8350;Cité Vieusseux;6;1203;Genève;022 344 68 61;fri@ipe-ge.ch
Genève;Gazouillis;8640;Rue Lamartine;2;1203;Genève;022 338 20 50;gaz@ipe-ge.ch
Genève;Germaine Duparc;9903;Rue de Saint-Jean;39;1203;Genève;022 338 28 80;ger@ipe-ge.ch
Genève;Grenade;7920;Avenue de la Grenade;3;1207;Genève;022 735 69 42;gre@ipe-ge.ch
Genève;Grotte Bleue – Site Louis-Favre;9811;Rue Louis-Favre;33;1202;Genève;022 734 63 91;fav@ipe-ge.ch
Genève;Grotte Bleue – Site Servette;9810;Rue de la Servette;34;1201;Genève;022 733 12 88;gro@ipe-ge.ch
Genève;HUG – Site Kangourous;8580;Avenue de la Roseraie;39;1205;Genève;022 372 65 17;belinda.baumgartner@hcuge.ch
Genève;HUG – Site Tom Pouce;-;Boulevard de la Cluse;30;1202;Genève;022 372 43 99;belinda.baumgartner@hcuge.ch
Genève;Ile aux Trésors;9815;Rue de Saint-Jean;30;1203;Genève;022 338 08 50;ile@ipe-ge.ch
Genève;Isabelle Eberhardt;8621;Rue du Cendrier;7;1201;Genève;022 716 54 44;ebe@ipe-ge.ch
Genève;Jeanne Hersch;9955;Rue Barthélémy-Menn;5;1205;Genève;022 322 96 60;her@ipe-ge.ch
Genève;Jonction;8600;Avenue Sainte-Clotilde;14;1205;Genève;022 322 09 68;jon@ipe-ge.ch
Genève;La Petite Ecole Les Tulipiers;9932;Chemin Frisco;7;1208;Genève;022 736 67 00;info@tulipiers.ch
Genève;La Ruche;9892;Chemin du 23 août;12;1205;Genève;-;mgp@ipe-ge.ch
Genève;Lac;8650;Anne-Torcapel;2;1202;Genève;022 906 12 80;lac@ipe-ge.ch
Genève;Le Jardin de Marie;9894;Chemin du 23  août;12;1205;Genève;079 464 83 97;mgp@ipe-ge.ch
Genève;Lina Stern;9978;Avenue de Champel;3;1206;Genève;022 379 41 82;eve-linastern@unige.ch
Genève;Louis-Aubert;8540;Avenue-Aubert;2;1206;Genève;022 839 76 36;aub@ipe-ge.ch
Genève;Madeleine des enfants CR-bât, Victoire Tynaire;8040;Route de Frontenex;54;1207;Genève;022 310 15 37;mad@ipe-ge.ch
Genève;Madeleine des enfants JE-bât, Victoire Tynaire;8040;Route de Frontenex;54;1207;Genève;022 310 15 37;emmanuelle.pszola@ipe-ge.ch
Genève;Maison des Enfants;8890;Rue du Midi;4;1201;Genève;022 733 44 26;mgr@ipe-ge.ch
Genève;Manège en Ville;-;Rue René-Louis Piachaud;4;1204;Genève;022 309 15 95;-
Genève;Mille-Pattes;8150;Rue du Village-Suisse;14;1205;Genève;022 328 77 05;mil@ipe-ge.ch
Genève;Minoteries;8570;Rue des Minoteries;55A;1205;Genève;022 888 30 10;min@ipe-ge.ch
Genève;Monique Bauer Lagier;9896;Square Aimée Rapin;16;1202;Genève;022 338 16 20;mbl@ipe-ge.ch
Genève;Montbrillant;9780;Rue de Montbrillant;78;1202;Genève;022 733 07 48;mon@ipe-ge.ch
Genève;Morillons;7881;-;-;1201;Genève;022 788 26 10;mor@ipe-ge.ch
Genève;Nichée;8590;Boulevard Carl-Vogt;46;1205;Genève;022 807 02 30;nic@ipe-ge.ch
Genève;Nursery MIS;9891;Rue Le-Corbusier;28;1208;Genève;022 223 47 56;bentgens@metroschool.ch
Genève;Ô comme 3 pommes;9992;Rue Varembé;9;1202;Genève;022 748 16 90;oco@ipe-ge.ch
Genève;Origami;9969;Rue Kazem Radijavi;6;1202;Genève;022 716 17 60;ori@ipe-ge.ch
Genève;Orquidea;8543;Rue de Villereuse;6;1207;Genève;022 736 49 36;menoud.anna.ibme@gmail.com
Genève;Ouches;9991;Chemin des Ouches;19;1203;Genève;022 795 16 40;ouc@ipe-ge.ch
Genève;Papillons;8000;Chemin Rieu;22;1208;Genève;022 839 76 30;pap@ipe-ge.ch
Genève;Pastourelle;9917;Chemin François Furet;11;1203;Genève;022 340 26 31;pas@ipe-ge.ch
Genève;Petite Maison de Frontenex;8880;Chemin de la Clairière;7;1207;Genève;022 700 01 00;fro@ipe-ge.ch
Genève;Petite Maisonnée;8670;;;1202;Genève;022 919 63 50;ptm@ipe-ge.ch
Genève;Pigeonvole;9911;Rue de Montbrillant;42;1201;Genève;022 734 56 12;pig@ipe-ge.ch
Genève;Pimprenelle;9920;Route de Chêne;54;1208;Genève;022 700 74 20;pim@ipe-ge.ch
Genève;Pipotin;7770;Avenue Peschier;14bis;1206;Genève;022 789 02 91;lepipotin@bluewin.ch
Genève;Planète des Enfants;9929;Avenue d’Aïre;42;1203;Genève;022 949 59 70;pen@ipe-ge.ch
Genève;Poisson rouge;9988;Rue Chandieu;8;1202;Genève;022 748 16 80;poi@ipe-ge.ch
Genève;Pomme d’Api;8360;Route de Saint-Jean;12;1203;Genève;022 344 05 40;pom@ipe-ge.ch
Genève;Pop e poppa Menthe À l’Eau;9958;Avenue de Champel;8c;1206;Genève;022 552 23 15;menthealeau@popepoppa.ch
Genève;Pré-Picot;9913;Plateau de Frontenex;11;1223;Genève;022 700 57 57;pre@ipe-ge.ch
Genève;Prés Verts;8910;Chemin Chevillarde;32-38;1208;Genève;022 786 22 86;presverts@fer-ge.ch
Genève;Providence;8860;Chemin Briquet;9;1209;Genève;022 919 63 30;pro@ipe-ge.ch
Genève;P’tit Monde;9850;Rue de la Faucille;3;1201;Genève;022 740 06 54;pmo@ipe-ge.ch
Genève;Ribambelle;8060;Chemin des Sports;16;1203;Genève;022 345 10 76;rib@ipe-ge.ch
Genève;Scoubidou;9931;Chemin des Colombettes;5;1202;Genève;022 920 16 75;info@scoubidou.ch
Genève;Seujet;8620;Quai du Seujet;34;1201;Genève;022 716 54 34;seu@ipe-ge.ch
Genève;Sources;9710;Rue des Sources;12;1205;Genève;022 329 64 36;sou@ipe-ge.ch
Genève;Souris Verte;8340;Rue J.-J. Schaub;38;1202;Genève;022 733 49 63;sve@ipe-ge.ch
Genève;Terrassière;9939;Avenue de Frontenex;12;1207;Genève;022 700 97 44;ter@ipe-ge.ch
Genève;Tipi;8365;Rue de Saint-Jean;26;1203;Genève;022 338 08 40;tip@ipe-ge.ch
Genève;Tom Pouce (Genève);9942;Avenue Trembley;12;1209;Genève;022 910 38 34;tom@ipe-ge.ch
Genève;Tournesol;9912;Avenue Wendt;26;1203;Genève;022 345 72 02;tou@ipe-ge.ch
Genève;Zone Bleue;7951;Rue du Cercle;6-8;1201;Genève;022 733 50 01;zon@ipe-ge.ch
Genthod;Les Petits Loups;9100;Rue du Village;2;1294;Genthod;022 774 25 73;educpetitsloups@gmail.com
Grand-Saconnex;Eveil-Montessori;6839;Rue Sonnex;28;1218;Grand-Saconnex;022 557 44 33;eveil-montessori@bluewin.ch
Grand-Saconnex;Graffiti;9921;Rue Sonnex;13;1218;Grand-Saconnex;022 788 70 59;virginie@jardin-enfants-graffiti.ch
Grand-Saconnex;Growing Together Montessori School;9963;Rue Sonnex;23;1218;Grand-Saconnex;022 920 92 00;contact@gtmontessori.ch
Grand-Saconnex;Le Jardin de la Ferme;-;Chemin du Pommier;7;1218;Grand-Saconnex;022 798 06 82;jardin@petiteenfance.ch
Grand-Saconnex;Lolilola;7650;Chemin du Pommier;14;1218;Grand-Saconnex;022 788 36 17;direction@crechelolilola.com
Grand-Saconnex;Pommier;9989;Rue Sonnex;2;1218;Grand-Saconnex;022 798 06 80;pommier@petiteenfance.ch
Grand-Saconnex;Roulotte;9990;Chemin Edouard -Sarasin;47;1218;Grand-Saconnex;022 798 06 81;roulotte@petiteenfance.ch
Jussy;P’tite Cabane;8450;Route des Beillans;11;1254;Jussy;022 759 10 73;info@jussy.ch
Laconnex;Enfants de la Feuillée;9945;Chemin des Quarts;2-4;1287;Laconnex;022 756 31 42;-
Lancy;Caroll;8280;Rue des Bossons;88;1213;Petit-Lancy;022 792 28 86;garderiecaroll@bluewin.ch
Lancy;Chante-Joie;7660;Avenue des Communes-Réunies;20;1212;Grand-Lancy;022 794 81 70;chantejoie@lancy.ch
Lancy;Clair-Matin;9970;Route de Chancy;59;1213;Petit-Lancy;022 793 77 93;eveclair-matin@lancy.ch
Lancy;Couleurs du monde;8980;Route de la Chapelle;20;1212;Grand-Lancy;022 827 48 10;couleursdumonde@lancy.ch
Lancy;Etoile;7640;Avenue des Communes-Réunies;82;1212;Grand-Lancy;022 794 81 81;garderie-etoile@lancy.ch
Lancy;Jardin des Tout-Petits;9050;Chemin de la Caroline;18;1213;Petit-Lancy;022 793 01 76;-
Lancy;Les Petits Chronos;9884;Rampe de Pont-Rouge;6;1213;Petit-Lancy;022 552 88 91;-
Lancy;Petit Prince;7620;Chemin des Semailles;9J;1212;Grand-Lancy;022 794 16 62;garderiepetitprince@bluewin.ch
Lancy;Plateau PR;8500;Avenue du Plateau;4a;1213;Petit-Lancy;022 792 03 73;garderieplateau@lancy.ch
Lancy;Plateau PE;9994;Avenue du Plateau;4;1213;Petit-Lancy;022 879 93 30;eveplateau_dir@lancy.ch
Lancy;Pont-Rouge;9993;Place Pont-Rouge;2;1212;Grand-Lancy;022 879 60 50;v.drouxsalvador@lancy.ch
Lancy;TotUP;9895;Avenue des Morgines;12;1213;Petit-Lancy;078 749 06 35;direction@totup.ch
Meinier;Loupiots du Chambet;9953;Route de la Repentance;86;1252;Meinier;022 855 13 01;"creche.lc@meinier.ch;v.periat@meinier.ch"
Meinier;Meinier;8440;Route de la Repentance;86;1252;Meinier;022 855 13 01;info@meinier.ch
Meyrin;A la forêt !;-;Promenade de l’Aubier;20;1217;Meyrin;076 693 12 04;info@alaforet.ch
Meyrin;Champs-Fréchets;9946;Rue des Lattes;69;1217;Meyrin;022 782 38 24;marie.tigroudja@meyrin.ch
Meyrin;Cité;9770;Rue des Boudines;8;1217;Meyrin;022 783 01 46;sabrina.latino@meyrin.ch
Meyrin;Ecole Suédoise Internationale de Genève;7080;Esplanade des Récréations;9;1217;Meyrin;022 782 65 00;admin@sisog.ch
Meyrin;Framboise;9980;Chemin de la Tour ;11;1217;Meyrin;022 782 11 78;-
Meyrin;La Marelle – Sur le Chemin de l’école;9485;Rue des Boudines;2;1217;Meyrin;022 282 55 43;marie.tigroudja@meyrin.ch
Meyrin;L’Association du Personnel du Cern;7880;;;1217;Meyrin;022 767 36 04;info.jdp@cern.ch
Meyrin;Monthoux;9971;Rue Alphonse Large;12;1217;Meyrin;022 989 35 35;marie.tigroudja@meyrin.ch
Meyrin;Parc;9801;Rue Boudines;8;1217;Meyrin;022 989 35 45;isabelle.heritier-davet@meyrin.ch
Meyrin;Petitgrain;7631;Rue Alphonse Large;17;1217;Meyrin;022 777 73 39;creche@petitgrain.ch
Meyrin;Vergers;9781;Rue des Boudines;2;1217;Meyrin;022 989 35 70;lisa.lavanchy@meyrin.ch
Onex;Arabelle;9922;Avenue des Grandes-Communes;66;1213;Onex;022 792 80 49;info@foyerarabelle.ch
Onex;Bocage;8545;Chemin du Bocage;2;1213;Onex;022 793 41 66;lebocage@bluewin.ch
Onex;Coquelibulle;9941;Avenue des Grandes-Communes;20E;1213;Onex;022 870 00 07;isabelle.samson@coquelibulle.ch
Onex;Plume;9700;Avenue des Grandes-Communes;68;1213;Onex;022 792 54 90;info@rondin-picotin-onex.ch
Onex;Rondin-Picotin;7930;Avenue Bois-de-la-Chapelle;60;1213;Onex;022 792 89 13;rondin.picotin@bluewin.ch
Onex;Rondin-Picotin;7930;Avenue Bois-de-la-Chapelle;60;1213;Onex;022 792 89 13;info@rondin-picotin-onex.ch
Perly-Certoux;Little Green House Perly;9979;Route de Saint-Julien;298;1258;Perly;022 555 40 30;perly@littlegreenhouse.ch
Perly-Certoux;Moustiques;8140;Chemin des Vignes;1;1258;Perly;022 771 23 20;educatrices@lesmoustiques.ch
Plan-les-Ouates;Abeilles;8820;Chemin de la Mère-Voie;50;1228;Plan-les-Ouates;022 884 69 43;info@lesabeilles.ch
Plan-les-Ouates;CielBleu;9974;Chemin du Pré-Fleuri;5;1228;Plan-les-Ouates;022 884 69 10;petite.enfance@plan-les-ouates.ch
Plan-les-Ouates;Lutins;9880;Route de Saint-Julien;159;1228;Plan-les-Ouates;022 884 69 23;petite.enfance@plan-les-ouates.ch
Plan-les-Ouates;Serpentin;9890;Route des Chevaliers-De-Malte;28;1228;Plan-les-Ouates;022 884 69 30;direction@leserpentin.ch
Plan-les-Ouates;VéloRouge;9951;Route du Vélodrome;34;1228;Plan-les-Ouates;022 884 62 00;petite.enfance@plan-les-ouates.ch
Plan-les-Ouates;Zinzolin;9981;Chemin du Pré -de-la-Raisse;3;1228;Plan-les-Ouates;022 884 62 60;zinzolin@plan-les-ouates.ch
Pregny-Chambésy;Les Pitchounets;8950;Route de Pergny;41;1292;Chambésy;022 758 11 43;pitchounets1292@gmail.com
Puplinge;Graine de Patenailles PR;9976;Rue de Graman;58;1241;Puplinge;022 339 89 59;info@eve-puplinge.ch
Puplinge;Graine de Patenailles PE;9976;Rue de Graman;58;1241;Puplinge;022 339 89 59;info@eve-puplinge.ch
Satigny;Omnibulle;8770;Route d’Aire-La-Ville;213;1242;Satigny;022 753 17 50;info@omnibulle.ch
Satigny;Omnibulle;8770;Route d’Aire-la-Ville;213;1242;Satigny;022 753 17 50;info@omnibulle.ch
Thônex;Affaire des petits;9966;Avenue Tronchet;30;1226;Thônex;022 349 48 23;veronique.wicki@fer-ge.ch
Thônex;Bout’Choux;8610;Avenue Tronchet;9;1226;Thônex;022 860 87 79;info@fjthonex.ch
Thônex;Clair-Val;9984;Chemin de Clair-Val;6;1226;Thônex;022 860 87 02;info@fjthonex.ch
Thônex;Marcelly;9947;Chemin Marcelly;10;1226;Thônex;022 349 17 11;info@fjthonex.ch
Thônex;TotUP 2c;-;Route de Jussy;34;1226;Thônex;078 255 74 22;directionthonex@totup.ch
Troinex;Gaspard et Trottinette;9930;Chemin Lullin;19;1256;Troinex;022 784 29 68;garderietroinex@bluewin.ch
Vandoeuvres;Mille et une Pattes;9925;Route de Pressy;2;1253;Vandoeuvres;022 750 14 08;faderuaz@hotmail.fr
Vandoeuvres;Toboggan;8470;Route de Pressy;2;1253;Vandoeuvres;022 750 10 01;letoboggan@popepoppa.ch
Vernier;Avanchets;8870;Rue du Grand Bay;12a;1220;Les Avanchets;022 754 93 40;sen@vernier.ch
Vernier;Avanchets;7970;Rue du Grand Bay;13;1220;Les Avanchets;022 754 93 44;sen@vernier.ch
Vernier;Bientôt à l’école;9889;Avenue de Chatelaine;68;1219;Châtelaine;022 306 06 80;sen@vernier.ch
Vernier;Bourquin – Halte-garderie;9870;Avenue de Chatelaine;68;1219;Chatelaine;022 754 93 73;sen@vernier.ch
Vernier;Bourquin – Jardin d’enfants;9870;Avenue de Chatelaine;68;1219;Chatelaine;022 754 93 73;sen@vernier.ch
Vernier;Etang;9983;Allée des Nénuphars;6;1219;Chatelaine;022 754 93 90;sen@vernier.ch
Vernier;Jean-Simonet;-;Rue Jean-Simonet;3;1219;Chatelaine;022 754 93 74;sen@vernier.ch
Vernier;Libellules;9967;Avenue des Libellules;16b;1219;Chatelaine;022 754 93 19;sen@vernier.ch
Vernier;Libellules;8371;Route de l’Usine-à-Gaz;21;1219;Aïre;022 754 93 00;sen@vernier.ch
Vernier;Lignon;9998;Place du Lignon;16;1219;Lignon;022 754 93 20;sen@vernier.ch
Vernier;Vernier;8380;Rue du Village;57;1214;Vernier;022 754 93 60;sen@vernier.ch
Vernier;Vernier-Village;9952;Route de Vernier;178;1214;Vernier;022 754 93 50;sen@vernier.ch
Versoix;Collège du Léman;7525;Route de Sauverny;74;1290;Versoix;022 775 55 96;gabrielle.schneebeli@cdl.ch
Versoix;Fleurimage;9908;Chemin de Montfleury;1;1290;Versoix;022 775 13 00;info@eve-versoix.ch
Versoix;La Bambousière-les P’tits Bambous;;Chemin du Régiment-de-Conti;18;1290;Versoix;076 327 50 49;info@labambousiere.ch
Versoix;Little Green House Perly;9977;Route Suisse;162;1290;Versoix;022 343 00 24;versoix@littlegreenhouse.ch
Versoix;Montfleury;9080;Grand-MontFleury;52;1290;Versoix;022 755 48 67;info@eve-versoix.ch
Versoix;Vers à soie;9070;Route de Sauverny;56;1290;Versoix;022 775 13 00;info@eve-versoix.ch
Versoix;Vers à Soie Lac PE;8003;Route de Sauverny;56;1290;Versoix;022 775 13 00;info@eve-versoix.ch
Versoix;Vers à Soie Lac PR;9070;Route de Sauverny;56;1290;Versoix;022 775 13 00;info@eve-versoix.ch
Veyrier;Cigogne;8530;Route de Veyrier;83;1234;Vessy;022 899 12 60;isabelle.dupuis@lacigogne.ch
Veyrier;Etournelles;8004;Route de Veyrier;255;1255;Veyrier;022 552 39 60;hayat.redjem@popepoppa.ch
Veyrier;Gan-Yeladim;8020;Route de Veyrier;206;1255;Veyrier;022 899 13 32;gan@comisra.ch
Veyrier;Grand-Salève;9805;Avenue du Grand Salève;8;1255;Veyrier;022 799 10 60;evedugrandsaleve@veyrier.ch
Veyrier;Pitchoun;9090;Route de Veyrier;208;1255;Veyrier;022 899 12 59;info@pitchoun.ch
Veyrier;Pop e poppa Le sabotier;9965;Chemin Sous-Balme;20;1255;Veyrier;022 784 42 32;frederic.chave@ppfs.ch
Veyrier;Tour-de-Pinchat;9825;Chemin de la Tour-de-Pinchat;2;1234;Vessy;022 799 10 75;evetourdepinchat@veyrier.ch
